"","Name","Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Engine","Power","Seats","Price","Make","Gama","kmpl","kmpkg","Price.mod2"
"749","Honda City i-VTEC V","Mumbai",2017,11000,"Petrol","Manual","First",1497,117.3,5,8.5,"Honda","Gama media",17.4,0,1.00496422056625
"750","Mahindra Xylo H4","Coimbatore",2016,93166,"Diesel","Manual","Second",2179,118.3,7,5.85,"Mahindra","Gama alta",14.02,0,1.17121735974468
"751","Hyundai Verna 1.6 SX VTVT","Bangalore",2014,45000,"Petrol","Manual","Second",1591,121.3,5,6.75,"Hyundai","Gama media",17.01,0,0.859391272825562
"752","Hyundai Verna CRDi SX","Hyderabad",2013,82966,"Diesel","Manual","First",1493,110,5,7.2,"Hyundai","Gama media",16.8,0,0.753632152722491
"753","Land Rover Freelander 2 TD4 SE","Hyderabad",2012,139000,"Diesel","Automatic","First",2179,115,5,16.75,"Land Rover","Gama alta",0,0,0.938775241856455
"754","Volkswagen Polo 1.2 MPI Comfortline","Coimbatore",2016,32125,"Petrol","Manual","First",1199,74,5,6.17,"Volkswagen","Gama media",16.2,0,0.708595476756479
"755","Tata Bolt Revotron XT","Chennai",2016,10000,"Petrol","Manual","First",1193,88.7,5,4,"Tata","Gama baja",17.57,0,0.686229251633192
"756","Hyundai EON Era Plus","Hyderabad",2012,60500,"Petrol","Manual","First",814,55.2,5,2.6,"Hyundai","Gama media",21.1,0,0.337057838509656
"757","Honda City i DTEC VX","Kochi",2015,80606,"Diesel","Manual","First",1498,98.6,5,6.96,"Honda","Gama media",25.1,0,0.804954210948234
"758","Honda Brio S MT","Kochi",2014,74325,"Petrol","Manual","First",1198,86.8,5,3.51,"Honda","Gama media",19.4,0,0.683606195036677
"759","Maruti Baleno Zeta Automatic","Pune",2016,27809,"Petrol","Automatic","First",1197,83.1,5,6.41,"Maruti","Gama media",21.4,0,0.769515433410939
"760","Ford Fusion Plus 1.4 TDCi Diesel","Hyderabad",2008,75000,"Diesel","Manual","Second",1399,68,5,3,"Ford","Gama media",17.7,0,0.229017441363917
"761","Mahindra Scorpio SLE BSIV","Delhi",2012,77000,"Diesel","Manual","Second",2179,120,8,4.93,"Mahindra","Gama alta",12.05,0,0.961130291124522
"762","Honda City 1.5 S MT","Kolkata",2009,31423,"Petrol","Manual","First",1497,118,5,1.99,"Honda","Gama media",17,0,0.572926422868012
"763","Jaguar XF 2.2 Litre Luxury","Kochi",2015,27001,"Diesel","Automatic","First",2179,187.7,5,26.52,"Jaguar","Gama alta",16.36,0,1.35929513498568
"764","Hyundai Elite i20 Petrol Asta","Mumbai",2015,28133,"Petrol","Manual","First",1197,81.86,5,5.6,"Hyundai","Gama media",18.6,0,0.70722310609036
"765","Hyundai i20 Sportz 1.4 CRDi","Hyderabad",2015,72495,"Diesel","Manual","First",1396,88.76,5,7,"Hyundai","Gama media",21.9,0,0.749730454978331
"766","Honda City i DTEC V","Kochi",2015,42831,"Diesel","Manual","First",1498,98.6,5,7.11,"Honda","Gama media",26,0,0.804954210948234
"767","Hyundai Grand i10 SportZ Edition","Kochi",2018,40322,"Petrol","Manual","First",1197,81.86,5,5.5,"Hyundai","Gama media",18.9,0,0.870409250522146
"768","Maruti Omni 8 Seater BSIV","Mumbai",2011,39000,"Petrol","Manual","First",796,35,5,1.5,"Maruti","Gama media",14,0,0.0433441856522486
"769","Honda City i DTEC SV","Kolkata",2014,40000,"Diesel","Manual","First",1498,98.6,5,4.45,"Honda","Gama media",26,0,0.750558829470973
"770","Mini Cooper 5 DOOR D","Mumbai",2016,11000,"Diesel","Automatic","First",1496,113.98,5,29.5,"Mini","Gama alta",20.7,0,1.15167711708608
"771","Hyundai i20 1.4 CRDi Magna","Hyderabad",2012,71360,"Diesel","Manual","First",1396,90,5,3.95,"Hyundai","Gama media",21.9,0,0.59383160381184
"772","Maruti Vitara Brezza VDi","Pune",2016,37208,"Diesel","Manual","First",1248,88.5,5,7.43,"Maruti","Gama media",24.3,0,0.802584949222828
"773","Toyota Innova 2.5 ZX Diesel 7 Seater","Bangalore",2015,86398,"Diesel","Manual","First",2494,100.6,7,15.2,"Toyota","Gama alta",12.99,0,1.03169158611825
"774","Hyundai Verna 1.6 CRDi EX MT","Kochi",2016,37451,"Diesel","Manual","First",1582,126.3,5,6.64,"Hyundai","Gama media",22.32,0,0.989399151774392
"775","Hyundai i20 Magna Optional 1.2","Kochi",2014,35487,"Petrol","Manual","First",1197,82.9,5,4.74,"Hyundai","Gama media",18.5,0,0.659458972554826
"776","Mahindra Verito 1.5 D4 BSIV","Hyderabad",2013,107000,"Diesel","Manual","First",1461,65,5,3.7,"Mahindra","Gama alta",21.03,0,0.693483734839423
"777","Nissan Micra XV CVT","Kolkata",2011,44000,"Petrol","Automatic","First",1198,75.94,5,2.65,"Nissan","Gama media",19.15,0,0.450211603328268
"778","Maruti Zen VXI BSII","Kochi",2003,61495,"Petrol","Manual","Third",993,60,5,1.52,"Maruti","Gama media",17.3,0,-0.108703206079568
"779","Renault Duster 85PS Diesel RxL Optional","Bangalore",2013,75371,"Diesel","Manual","First",1461,83.8,5,6.69,"Renault","Gama media",20.46,0,0.610735367091463
"780","Nissan Terrano XL 110 PS","Hyderabad",2014,66000,"Diesel","Manual","First",1461,108.5,5,6.8,"Nissan","Gama media",19.01,0,0.800815553053736
"781","Honda City 1.5 V MT","Kolkata",2010,60000,"Petrol","Manual","First",1497,118,5,2.7,"Honda","Gama media",17,0,0.627321804345274
"782","Maruti SX4 Zxi with Leather BSIII","Chennai",2010,87000,"Petrol","Manual","First",1586,104.68,5,2.8,"Maruti","Gama media",15.6,0,0.564407451348373
"783","Honda Jazz 1.2 V i VTEC","Chennai",2016,17377,"Petrol","Manual","First",1199,88.7,5,5.9,"Honda","Gama media",18.7,0,0.803770648089752
"784","Volkswagen Vento 2013-2015 1.6 Comfortline","Kolkata",2015,39000,"Petrol","Manual","First",1598,103.2,5,3.99,"Volkswagen","Gama media",15.04,0,0.828905001317026
"785","Maruti Baleno Zeta 1.2","Ahmedabad",2016,30965,"Petrol","Manual","First",1197,83.1,5,6.25,"Maruti","Gama media",21.4,0,0.769515433410939
"786","Honda Jazz 1.5 V i DTEC","Ahmedabad",2016,35000,"Diesel","Manual","First",1498,98.6,5,5.5,"Honda","Gama media",27.3,0,0.859349592425497
"787","Jaguar XJ 3.0L Portfolio","Delhi",2016,12000,"Diesel","Automatic","First",2993,271.23,4,79,"Jaguar","Gama alta",10.5,0,1.60705200733567
"788","Volkswagen Polo 1.5 TDI Comfortline","Kolkata",2016,29000,"Diesel","Manual","First",1498,88.8,5,4,"Volkswagen","Gama media",20.14,0,0.80436249533547
"789","Chevrolet Enjoy 1.3 TCDi LTZ 8","Coimbatore",2015,57934,"Diesel","Manual","First",1248,73.74,8,5.5,"Chevrolet","Gama baja",18.2,0,0.534809925592814
"790","Datsun GO T Option","Hyderabad",2016,19000,"Petrol","Manual","First",1198,67,5,2.99,"Datsun","Gama baja",20.63,0,0.538857259949903
"791","Hyundai Verna 1.6 CRDI","Mumbai",2011,74000,"Diesel","Manual","Second",1582,126.3,5,3.75,"Hyundai","Gama media",22.32,0,0.717422244388082
"792","Maruti Vitara Brezza VDi Option","Kochi",2018,51921,"Diesel","Manual","First",1248,88.5,5,8.62,"Maruti","Gama media",24.3,0,0.911375712177352
"793","BMW 3 Series Luxury Line","Bangalore",2017,21000,"Diesel","Automatic","First",1995,190,5,35,"Bmw","Gama alta",21.76,0,1.47448316029557
"794","Nissan Micra Diesel XV Premium","Kolkata",2012,32048,"Diesel","Manual","First",1461,63.1,5,2.4,"Nissan","Gama media",23.08,0,0.407316054271424
"795","Maruti Swift VXI Optional","Ahmedabad",2017,24005,"Petrol","Manual","First",1197,81.8,5,6.2,"Maruti","Gama media",20.4,0,0.815628730783707
"796","Land Rover Discovery Sport SD4 HSE Luxury 7S","Hyderabad",2016,62000,"Diesel","Automatic","First",2179,187.7,7,44.5,"Land Rover","Gama alta",12.51,0,1.41369051646294
"797","Honda Jazz V","Mumbai",2016,31378,"Petrol","Manual","First",1199,88.7,5,5.9,"Honda","Gama media",18.2,0,0.803770648089752
"798","Jaguar XJ 2.0L Portfolio","Mumbai",2017,10501,"Petrol","Automatic","First",1999,237.4,5,75,"Jaguar","Gama alta",9.43,0,1.59147130779136
"799","BMW 3 Series 320d M Sport","Mumbai",2016,38000,"Diesel","Automatic","First",1995,190,5,23.99,"Bmw","Gama alta",22.69,0,1.42008777881831
"800","Renault Duster 110PS Diesel RxL","Coimbatore",2013,52600,"Diesel","Manual","First",1461,108.45,5,7.26,"Renault","Gama media",19.6,0,0.746178058470088
"801","Toyota Innova 2.5 G4 Diesel 8-seater","Hyderabad",2015,147848,"Diesel","Manual","First",2494,102,8,13.2,"Toyota","Gama alta",12.8,0,1.03895103162747
"802","Volkswagen Polo 1.2 MPI Comfortline","Pune",2011,36431,"Petrol","Manual","First",1199,74,5,2.7,"Volkswagen","Gama media",16.2,0,0.436618569370169
"803","Hyundai i20 Sportz Option 1.2","Delhi",2015,36000,"Petrol","Manual","Second",1197,81.83,5,4.95,"Hyundai","Gama media",18.6,0,0.707030572259014
"804","Hyundai Elite i20 Diesel Asta Option","Kolkata",2018,6820,"Diesel","Manual","First",1396,88.76,5,7.65,"Hyundai","Gama media",22.54,0,0.912916599410117
"805","Maruti Baleno Delta Automatic","Delhi",2017,44000,"Petrol","Automatic","First",1197,83.1,5,6.2,"Maruti","Gama media",21.4,0,0.823910814888201
"806","Maruti Swift VDI BSIV","Kolkata",2015,45000,"Diesel","Manual","First",1248,74,5,3.55,"Maruti","Gama media",25.2,0,0.654200095279217
"807","Skoda Superb Elegance 1.8 TSI AT","Hyderabad",2010,57000,"Petrol","Automatic","First",1798,157.75,5,7.25,"Skoda","Gama media",13.7,0,0.779820169916025
"808","Maruti Vitara Brezza ZDi Plus Dual Tone","Coimbatore",2017,18108,"Diesel","Manual","First",1248,88.5,5,11.31,"Maruti","Gama media",24.3,0,0.85698033070009
"809","Honda Mobilio S i DTEC","Chennai",2015,65000,"Diesel","Manual","First",1498,98.6,7,5.5,"Honda","Gama media",24.2,0,0.804954210948235
"810","Ford Ikon 1.6 ZXI NXt","Pune",2004,69870,"Petrol","Manual","Second",1597,92,5,1.1,"Ford","Gama media",14.2,0,0.170213288694635
"811","Maruti Ertiga SHVS VDI","Chennai",2017,80000,"Diesel","Manual","First",1248,88.5,7,8.1,"Maruti","Gama media",24.52,0,0.85698033070009
"812","Volkswagen Jetta 2012-2014 2.0L TDI Comfortline","Kolkata",2012,67000,"Diesel","Manual","First",1968,138.1,5,5,"Volkswagen","Gama media",19.33,0,0.818733205625964
"813","Hyundai i10 Sportz","Kolkata",2016,7000,"Petrol","Manual","First",1197,78.9,5,3.6,"Hyundai","Gama media",20.36,0,0.742273398149804
"814","Volkswagen Ameo 1.5 TDI Highline","Kochi",2018,31426,"Diesel","Manual","First",1498,108.62,5,7.9,"Volkswagen","Gama media",21.66,0,1.01897769550127
"815","Hyundai Grand i10 AT Asta","Coimbatore",2015,37081,"Petrol","Automatic","First",1197,82,5,5.77,"Hyundai","Gama media",18.9,0,0.708120665353071
"816","BMW X5 xDrive 30d","Hyderabad",2011,75000,"Diesel","Automatic","First",2993,245,5,27.5,"Bmw","Gama alta",11.7,0,1.28165100723488
"817","BMW 5 Series 530d M Sport","Chennai",2010,58000,"Diesel","Automatic","First",2993,265,5,11.75,"Bmw","Gama alta",18.59,0,1.26847396979799
"818","Maruti Swift Dzire LXI","Delhi",2014,56510,"Petrol","Manual","First",1197,85.8,5,3.9,"Maruti","Gama media",19.1,0,0.677519633595375
"819","Maruti Ciaz 1.3 S","Coimbatore",2017,25142,"Diesel","Manual","First",1248,88.5,5,8.26,"Maruti","Gama media",28.09,0,0.85698033070009
"820","Maruti Alto 800 LXI","Delhi",2015,61000,"Petrol","Manual","First",796,47.3,5,2.15,"Maruti","Gama media",22.74,0,0.419115504182332
"821","Mercedes-Benz B Class B200 CDI","Bangalore",2016,36610,"Diesel","Automatic","First",2143,107.3,5,19.9,"Mercedes-Benz","Gama alta",15,0,1.11995411932663
"822","Honda City 1.5 V MT","Delhi",2010,65100,"Petrol","Manual","First",1497,118,5,3.15,"Honda","Gama media",17,0,0.627321804345274
"823","Hyundai i10 Sportz 1.1L","Pune",2013,84000,"Petrol","Manual","First",1086,68.05,5,2.95,"Hyundai","Gama media",19.81,0,0.501380430630897
"824","Audi Q7 3.0 TDI Quattro Premium Plus","Coimbatore",2015,46983,"Diesel","Automatic","Second",2967,241.4,7,43.35,"Audi","Gama alta",12.07,0,1.49145709613902
"825","Ford Figo 2015-2019 1.2P Sports Edition MT","Mumbai",2019,1000,"Petrol","Manual","First",1196,86.8,5,6.8,"Ford","Gama media",18.12,0,0.955583102422987
"826","Maruti Wagon R LXI","Jaipur",2006,101000,"Petrol","Manual","Second",998,67.1,5,1.5,"Maruti","Gama media",18.9,0,0.113228233837224
"827","Honda City i-VTEC CVT ZX","Mumbai",2017,15000,"Petrol","Automatic","First",1497,117.3,5,12.69,"Honda","Gama media",18,0,1.00496422056625
"828","Hyundai EON D Lite Plus","Kolkata",2013,36000,"Petrol","Manual","First",814,55.2,5,1.95,"Hyundai","Gama media",21.1,0,0.391453219986919
"829","Maruti Swift Dzire VDI","Jaipur",2015,58000,"Diesel","Manual","First",1248,74,5,5.25,"Maruti","Gama media",23.4,0,0.654200095279217
"830","Maruti Swift VXi BSIV","Pune",2015,13769,"Petrol","Manual","Second",1197,85,5,4.41,"Maruti","Gama media",16.1,0,0.72699446972181
"831","Hyundai i10 Era","Jaipur",2009,57000,"Petrol","Manual","First",1086,68.05,5,2.25,"Hyundai","Gama media",19.81,0,0.283798904721849
"832","Hyundai i20 Sportz 1.4 CRDi","Kolkata",2013,25500,"Diesel","Manual","First",1396,88.76,5,3.55,"Hyundai","Gama media",21.9,0,0.640939692023807
"833","Hyundai i10 Sportz","Mumbai",2015,20000,"Petrol","Manual","First",1197,78.9,5,3.75,"Hyundai","Gama media",20.36,0,0.687878016672542
"834","Land Rover Freelander 2 SE","Pune",2014,85000,"Diesel","Automatic","Second",2179,147.51,5,23,"Land Rover","Gama alta",12.39,0,1.17833784153501
"835","Maruti Celerio VXI AT","Pune",2015,26725,"Petrol","Automatic","First",998,67.04,5,4.25,"Maruti","Gama media",23.1,0,0.602316772028929
"836","Hyundai i10 Magna","Ahmedabad",2014,51000,"Petrol","Manual","First",1197,78.9,5,3.75,"Hyundai","Gama media",20.36,0,0.63348263519528
"837","Maruti Swift Dzire VXI","Mumbai",2012,88000,"Petrol","Manual","First",1197,85.8,5,3.85,"Maruti","Gama media",19.1,0,0.568728870640851
"838","Tata Indica Vista Quadrajet 90 ZX Plus","Delhi",2012,27000,"Diesel","Manual","First",1248,88.8,5,3.5,"Tata","Gama baja",22.3,0,0.469239572969863
"839","Chevrolet Beat Diesel LS","Chennai",2012,58000,"Diesel","Manual","First",936,57.6,5,2.1,"Chevrolet","Gama baja",25.44,0,0.241871491321164
"840","Tata New Safari DICOR 2.2 VX 4x2","Pune",2008,86000,"Diesel","Manual","Third",2179,138,7,0.6,"Tata","Gama baja",13.93,0,0.483229794743174
"841","Honda City i DTEC SV","Delhi",2015,65000,"Diesel","Manual","First",1498,98.6,5,5.95,"Honda","Gama media",26,0,0.804954210948234
"842","Hyundai Grand i10 Asta","Coimbatore",2017,74515,"Petrol","Manual","First",1197,82,5,5.64,"Hyundai","Gama media",18.9,0,0.816911428307596
"843","Maruti Alto 800 2016-2019 LXI Optional","Jaipur",2019,3000,"Petrol","Manual","First",796,47.3,5,3.5,"Maruti","Gama media",24.7,0,0.63669703009138
"844","Audi A6 2.0 TDI Design Edition","Delhi",2014,56000,"Diesel","Automatic","Second",1968,187.74,5,29.5,"Audi","Gama alta",18.53,0,1.30501167858342
"845","Toyota Corolla Altis 1.4 DG","Ahmedabad",2012,52000,"Diesel","Manual","First",1364,86.79,5,6.5,"Toyota","Gama alta",21.43,0,0.790944457593785
"846","Hyundai Verna 1.6 SX","Kochi",2015,60519,"Diesel","Manual","First",1582,126.32,5,6.24,"Hyundai","Gama media",22.32,0,0.935086940968669
"847","Maruti Ertiga VXI AT Petrol","Mumbai",2017,28000,"Petrol","Automatic","First",1462,103,7,8,"Maruti","Gama media",18.69,0,0.936676822390424
"848","Volkswagen Polo Diesel Highline 1.2L","Kolkata",2012,35175,"Diesel","Manual","First",1199,73.9,5,2.59,"Volkswagen","Gama media",22.07,0,0.490303654086044
"849","Tata Indica V2 2001-2011 eLS","Hyderabad",2015,80500,"Diesel","Manual","First",1396,69,5,2.45,"Tata","Gama baja",25,0,0.499911944501942
"850","Volkswagen Ameo 1.2 MPI Anniversary Edition","Pune",2018,20000,"Petrol","Manual","First",1198,74,5,5.5,"Volkswagen","Gama media",17,0,0.817386239711003
"851","Hyundai i20 Sportz 1.4 CRDi","Ahmedabad",2016,74000,"Diesel","Manual","First",1396,88.76,5,6.5,"Hyundai","Gama media",21.9,0,0.804125836455593
"852","Honda Amaze V CVT Petrol","Pune",2018,1700,"Petrol","Automatic","First",1199,88.76,5,7.8,"Honda","Gama media",19,0,0.912916599410117
"853","Volkswagen Vento Petrol Highline AT","Kochi",2014,32283,"Petrol","Automatic","Second",1598,103.6,5,5.41,"Volkswagen","Gama media",14.4,0,0.776541592876733
"854","Chevrolet Aveo U-VA 1.2 LS","Hyderabad",2007,33000,"Petrol","Manual","First",1150,74.9,5,1.75,"Chevrolet","Gama baja",15.26,0,0.107845461572869
"855","Honda City i DTec VX","Coimbatore",2018,45555,"Diesel","Manual","First",1498,98.6,5,11.73,"Honda","Gama media",26,0,0.968140355380021
"856","Maruti Celerio ZDi","Ahmedabad",2015,42000,"Diesel","Manual","First",793,47,5,3.6,"Maruti","Gama media",27.62,0,0.415773407806531
"857","Land Rover Range Rover 2.2L Dynamic","Hyderabad",2012,56000,"Diesel","Automatic","First",2179,187.7,5,30,"Land Rover","Gama alta",12.7,0,1.1961089905539
"858","Hyundai i20 Asta 1.2","Coimbatore",2016,40310,"Petrol","Manual","First",1197,81.83,5,7.09,"Hyundai","Gama media",18.6,0,0.761425953736276
"859","Honda Brio V MT","Mumbai",2013,63107,"Petrol","Manual","First",1198,86.8,5,3.25,"Honda","Gama media",19.4,0,0.629210813559415
"860","Maruti Ertiga VXI","Mumbai",2012,52500,"Petrol","Manual","Second",1373,93.7,7,5.25,"Maruti","Gama media",16.02,0,0.614993727519066
"861","Skoda Rapid 1.6 MPI Ambition Plus","Kochi",2014,33855,"Petrol","Manual","First",1598,103.6,5,5.09,"Skoda","Gama media",15,0,0.776541592876733
"862","Tata Manza Aura Quadrajet BS IV","Jaipur",2011,86500,"Diesel","Manual","Second",1248,88.8,5,1.8,"Tata","Gama baja",21.12,0,0.414844191492601
"863","Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV","Pune",2014,160000,"Diesel","Manual","First",2494,100,8,12,"Toyota","Gama alta",12.99,0,0.974154035500055
"864","Fiat Linea Emotion","Mumbai",2011,48000,"Petrol","Manual","First",1368,90,5,3,"Fiat","Gama baja",16,0,0.421894825878019
"865","Hyundai Verna 1.6 SX","Hyderabad",2012,83678,"Diesel","Manual","First",1582,126.32,5,5.5,"Hyundai","Gama media",22.32,0,0.771900796536883
"866","BMW 3 Series 320d Sport Line","Hyderabad",2015,10000,"Diesel","Automatic","First",1995,184,5,30,"Bmw","Gama alta",18.88,0,1.34883754885325
"867","Mahindra XUV500 W8 2WD","Pune",2012,95000,"Diesel","Manual","First",2179,140,7,7.21,"Mahindra","Gama alta",15.1,0,1.04210015162031
"868","Tata Indica V2 DLS TC","Kolkata",2008,133000,"Diesel","Manual","First",1405,62,5,0.7,"Tata","Gama baja",16.8,0,0.0629556306417678
"869","Hyundai Creta 1.6 CRDi AT SX Plus","Coimbatore",2016,58671,"Diesel","Automatic","First",1582,126.2,5,14.25,"Hyundai","Gama media",17.01,0,0.988983100762539
"870","Honda City 1.5 V MT","Kochi",2011,94832,"Petrol","Manual","First",1497,118,5,3.83,"Honda","Gama media",17,0,0.681717185822536
"871","Mahindra Thar CRDe","Coimbatore",2017,28599,"Diesel","Manual","First",2498,105,6,9.66,"Mahindra","Gama alta",16.55,0,1.1629679150206
"872","Chevrolet Cruze LTZ","Chennai",2011,73000,"Diesel","Manual","Third",1991,147.9,5,4.2,"Chevrolet","Gama baja",18.3,0,0.682807665178677
"873","Hyundai Grand i10 CRDi Sportz","Kolkata",2014,43068,"Diesel","Manual","First",1120,70,5,3.5,"Hyundai","Gama media",24,0,0.570615850666101
"874","Maruti Ciaz 1.4 Zeta","Kochi",2018,15982,"Petrol","Manual","First",1373,91.1,5,9.96,"Maruti","Gama media",20.73,0,0.926584874654575
"875","Volkswagen Polo Petrol Comfortline 1.2L","Kolkata",2011,32000,"Petrol","Manual","First",1198,73.9,5,2.55,"Volkswagen","Gama media",16.47,0,0.435908272608782
"876","Mitsubishi Cedia Sports","Pune",2009,97000,"Petrol","Manual","First",1999,114,5,3,"Mitsubishi","Gama alta",13.17,0,0.771001606474403
"877","Volkswagen Polo Petrol Comfortline 1.2L","Jaipur",2011,46000,"Petrol","Manual","First",1198,73.9,5,3.05,"Volkswagen","Gama media",16.47,0,0.435908272608782
"878","Mahindra XUV500 W8 2WD","Coimbatore",2015,65100,"Diesel","Manual","First",2179,140,7,8.36,"Mahindra","Gama alta",15.1,0,1.20528629605209
"879","Hyundai Santro Xing GLS","Hyderabad",2008,68282,"Petrol","Manual","First",1086,62.1,5,2.25,"Hyundai","Gama media",17.92,0,0.181343545210641
"880","Hyundai Xcent 1.2 Kappa S","Mumbai",2014,7400,"Petrol","Manual","First",1197,82,5,4.35,"Hyundai","Gama media",19.1,0,0.65372528387581
"881","Honda Jazz 1.2 VX i VTEC","Chennai",2016,23280,"Petrol","Manual","First",1199,88.7,5,6.5,"Honda","Gama media",18.7,0,0.803770648089752
"882","Maruti Swift ZDi","Pune",2016,58000,"Diesel","Manual","First",1248,74,5,7.55,"Maruti","Gama media",22.9,0,0.708595476756479
"883","Renault KWID RXT","Jaipur",2016,4152,"Petrol","Manual","First",799,53.3,5,3.15,"Renault","Gama media",25.17,0,0.536241127646964
"884","Maruti Swift Dzire LDI","Kolkata",2016,85450,"Diesel","Manual","First",1248,74,5,4,"Maruti","Gama media",26.59,0,0.708595476756479
"885","Maruti Wagon R LXI BS IV","Pune",2013,32425,"Petrol","Manual","First",998,67.04,5,3,"Maruti","Gama media",20.51,0,0.493526009074405
"886","Volvo S60 D4 KINETIC","Delhi",2014,48000,"Diesel","Automatic","Second",1984,181,5,16,"Volvo","Gama alta",9,0,1.2858074900575
"887","Toyota Fortuner 2.8 4WD MT","Mumbai",2010,140000,"Diesel","Manual","First",2755,174.5,7,10.75,"Toyota","Gama alta",14.24,0,1.04901584329701
"888","Maruti Ciaz ZDi Plus SHVS","Ahmedabad",2015,52000,"Diesel","Manual","First",1248,88.5,5,6.9,"Maruti","Gama media",28.09,0,0.748189567745566
"889","Chevrolet Aveo U-VA 1.2 LT","Coimbatore",2010,64236,"Petrol","Manual","First",1150,76,5,2.44,"Chevrolet","Gama baja",14.7,0,0.278689671572391
"890","BMW X5 xDrive 30d","Mumbai",2012,66000,"Diesel","Automatic","First",2993,258,5,21,"Bmw","Gama alta",15.3,0,1.36320327881103
"891","BMW 3 Series 320d","Kolkata",2011,70000,"Diesel","Automatic","First",1995,190,5,10.3,"Bmw","Gama alta",22.69,0,1.148110871432
"892","Honda City 1.5 S MT","Pune",2014,43772,"Petrol","Manual","First",1497,118,5,6.35,"Honda","Gama media",17,0,0.844903330254322
"893","Mercedes-Benz M-Class ML 250 CDI","Coimbatore",2016,23218,"Diesel","Automatic","First",2143,203.2,5,45.61,"Mercedes-Benz","Gama alta",15.26,0,1.45536802386043
"894","BMW X1 M Sport sDrive 20d","Kochi",2017,32838,"Diesel","Automatic","First",1995,190,5,30.29,"Bmw","Gama alta",17.05,0,1.47448316029557
"895","Maruti Wagon R LXI BS IV","Delhi",2012,65000,"Petrol","Manual","First",998,67.1,5,2.65,"Maruti","Gama media",18.9,0,0.439600522700796
"896","Mercedes-Benz GLC 43 AMG Coupe","Coimbatore",2018,22397,"Petrol","Automatic","First",2996,367,5,70.99,"Mercedes-Benz","Gama alta",11.5,0,1.87467992216885
"897","Hyundai Getz GLE","Coimbatore",2007,66800,"Petrol","Manual","First",1341,83,5,2.2,"Hyundai","Gama media",15.3,0,0.279324532399186
"898","Maruti Wagon R LX","Jaipur",2006,110000,"Petrol","Manual","First",998,67.1,5,1.11,"Maruti","Gama media",18.9,0,0.113228233837224
"899","Maruti Alto 800 2016-2019 VXI","Kolkata",2016,31006,"Petrol","Manual","First",796,47.3,5,2.61,"Maruti","Gama media",24.7,0,0.473510885659594
"900","Volkswagen Passat Diesel Highline 2.0 TDI","Chennai",2011,95000,"Diesel","Automatic","Second",1968,167.7,5,8.5,"Volkswagen","Gama media",18.33,0,0.866343434823734
"901","Maruti Swift Dzire VDI","Jaipur",2015,68310,"Diesel","Manual","First",1248,74,5,5.95,"Maruti","Gama media",23.4,0,0.654200095279217
"902","Maruti Ritz LDi","Kochi",2015,35314,"Diesel","Manual","First",1248,73.94,5,4.27,"Maruti","Gama media",23.2,0,0.653774032493924
"903","Honda City i VTEC SV","Kochi",2017,38424,"Petrol","Manual","First",1497,117.3,5,7.51,"Honda","Gama media",17.8,0,1.00496422056625
"904","Maruti Alto 800 2016-2019 LXI","Ahmedabad",2016,60000,"Petrol","Manual","First",796,47.3,5,2.65,"Maruti","Gama media",24.7,0,0.473510885659594
"905","Volkswagen Ameo 1.2 MPI Highline","Coimbatore",2017,22389,"Petrol","Manual","First",1198,73.75,5,7.23,"Volkswagen","Gama media",17,0,0.761213312121099
"906","Toyota Innova Crysta 2.4 GX MT","Hyderabad",2016,73000,"Diesel","Manual","First",2393,147.8,7,16.5,"Toyota","Gama alta",13.68,0,1.28816024390382
"907","Hyundai Grand i10 Sportz","Coimbatore",2017,23540,"Petrol","Manual","First",1197,82,5,6.02,"Hyundai","Gama media",18.9,0,0.816911428307596
"908","Skoda Octavia 1.9 TDI","Pune",2008,88123,"Diesel","Manual","First",1896,66,5,2.2,"Skoda","Gama media",18.7,0,0.213336743333106
"909","Toyota Innova 2.5 G (Diesel) 7 Seater","Mumbai",2015,102000,"Diesel","Manual","First",2494,100.6,7,8.25,"Toyota","Gama alta",12.99,0,1.03169158611825
"910","Tata Sumo EX","Coimbatore",2015,84931,"Diesel","Manual","First",2956,83.8,7,5.29,"Tata","Gama baja",15.3,0,0.601984733589428
"911","Hyundai i10 Sportz","Pune",2009,62500,"Petrol","Manual","First",1197,78.9,5,2.1,"Hyundai","Gama media",20.36,0,0.36150572780897
"912","Nissan Micra Diesel XV Premium","Pune",2013,60000,"Diesel","Manual","First",1461,63.1,5,3.55,"Nissan","Gama media",23.08,0,0.461711435748686
"913","Honda Brio S Option MT","Mumbai",2012,25000,"Petrol","Manual","First",1198,86.8,5,2.75,"Honda","Gama media",18.4,0,0.574815432082153
"914","Chevrolet Enjoy TCDi LTZ 7 Seater","Bangalore",2013,64000,"Diesel","Manual","Second",1248,73.8,7,4.85,"Chevrolet","Gama baja",18.2,0,0.426446380534962
"915","Mercedes-Benz S-Class 280 AT","Chennai",2003,111000,"Petrol","Automatic","First",2987,210,5,6.5,"Mercedes-Benz","Gama alta",13,0,0.765518094921
"916","Toyota Fortuner 3.0 Diesel","Bangalore",2014,72000,"Diesel","Manual","Second",2982,171,7,18.5,"Toyota","Gama alta",11.5,0,1.25595489045676
